Protein;MW;100K1;100K2;100K3;100K4;50K1;50K2;50K3;50K4;30K1;30K2;30K3;30K4;10K1;10K2;10K3;10K4
P26785;22249.12;1954829.5;2139047.75;2027520.375;1742665.625;16136.6484375;14455.81640625;14612.7451171875;16701.39453125;59728.9921875;62104.7890625;54268.515625;56185.78515625;564480.375;433607.875;330094.75;311153.28125
P26786;21622.19;245750.15625;303504.0625;323402.15625;435357.875;68802.1875;64439.171875;56181.9140625;60415.28515625;275428.4375;242292.3125;223568.953125;221328.4375;1614464.125;1220234.625;1102172.125;976982.125
P26793;43279.15;0;0;0;0;0;0;0;0;0;0;0;0;63970.87890625;65220.5703125;48517.28125;62553.62109375
P27344;22665.03;0;0;0;0;0;0;0;0;31688.7109375;123610.4140625;117954.3359375;114815.734375;227222.09375;151041.265625;164040.140625;110689.5703125
P27466;50296.2;15316.66015625;24191.337890625;25864.240234375;17826.56640625;25827.787109375;8384.3544921875;24305.544921875;20584.322265625;128894.90625;44532.0390625;65951.4375;62557.12109375;50408.91796875;53596.69921875;31010.41015625;51842.96484375
P27472;80078.85;211152.9375;191480.40625;187406.75;191611.28125;0;0;0;0;0;0;0;0;7701424;6068208;5578719;4654139.5
P27476;44535.17;112025.328125;106884.609375;124503.7421875;107144.671875;169921.078125;157888.5;158469.640625;226850.65625;470977.09375;380829.8125;350072.875;328313.4375;870931.0625;848015.75;758693.25;792558.25
P27614;64597.03;21038.693359375;36815.33203125;35264.01171875;35598.22265625;0;0;0;0;57674.2578125;59263.3828125;60774.69140625;57726.99609375;249813.875;176817.015625;161061.625;181756.71875
P27616;34603.44;35529.51171875;45654.64453125;49793.453125;48756.484375;76376.296875;107578.1953125;100642.59375;42766.4921875;1686859.125;241608.5625;270981.5;373499.0625;129999.1171875;127929.1796875;101761.921875;140783.6875
P27637;78981.46;83534.25;81564.46875;90301.6953125;74220.671875;75286.78125;67758.359375;71468.796875;86001.9140625;144308.671875;221918.609375;227806.203125;189778.078125;411161.53125;397466.1875;357343.3125;346104.4375
P27654;20727.67;3973.24267578125;4520.5224609375;4127.9873046875;4166.27880859375;5326.93994140625;5197.35009765625;4568.18017578125;4803.1826171875;11925.599609375;27450.626953125;26010.603515625;31830.814453125;96490.53125;86067.3515625;77608.2890625;92096.3203125
P27692;115649.83;43816.67578125;42035.4921875;48182.70703125;42001.58203125;46611.90234375;46273.484375;41296.125;54062.890625;115651.4765625;145319.015625;136074.484375;136051;494081.21875;461206.625;389339.5625;397191.59375
P27705;55531.96;37328.50390625;34142.97265625;35310.390625;34891.99609375;98715.9375;86050.6875;80231.34375;98925.546875;173892.359375;263418.9375;251561.125;236836.65625;698385.375;702209.5;686949.8125;642319.9375
P27809;51386.69;9403.8134765625;20492.40625;22243.484375;18458.87109375;0;0;0;0;0;0;0;0;0;0;0;0
P27810;46022.07;39031.04296875;48639.359375;55746.75390625;56047.171875;74209.9453125;65502.90625;57435.04296875;65098.55078125;68984.4296875;98820.59375;112145.6484375;161077.40625;0;0;0;0
P27882;21639.47;12665.7666015625;4830.46826171875;9294.189453125;11078.2099609375;21493.8984375;13091.8544921875;20492.30078125;16990.33984375;65405.1171875;42757.015625;53961.30078125;48181.21484375;0;0;0;0
P27999;14288.13;221830.421875;295700.59375;290559.53125;311410.84375;38643.80859375;39741.875;28225.013671875;40718.14453125;235026.21875;174755.25;156853.875;186318.3125;721335.5;663406.8125;691397.5;568627.625
P28000;16150.89;484207.28125;391891.53125;300814.1875;344074.625;234732.0625;189898.328125;219757.296875;273711.75;264022.6875;321519.28125;362403.6875;318620.84375;678559.1875;704594.5625;629708.4375;621430
P28004;42482.74;0;0;0;0;0;0;0;0;13755.1083984375;25223.525390625;33057.86328125;29347.84765625;129985.0703125;114969.53125;90008.0390625;80178.2890625
P28007;21480.35;47678.0390625;36903.26171875;48011.14453125;32811.15625;3023.43969726563;1856.189453125;2002.68823242188;4758.6240234375;23967.75390625;41456.265625;45236.046875;29534.466796875;362026.84375;252632.8125;184206.421875;182438.625
P28241;39739.45;128292.53125;157579.390625;181860.84375;200624.578125;114213.3828125;129203.078125;121170.8359375;156733.59375;161091.1875;131716.75;134011.59375;124379.1796875;855090.625;730038.25;577015.125;568200.1875
P28272;34800.92;169784.265625;161090.375;162529.625;151312.296875;416519.125;541403.9375;464643.625;220686.5;478706.3125;218706.1875;280089.90625;276930.5;0;0;0;0
P28273;140427.69;144289.8125;155147.875;149769.96875;151831.21875;63428.92578125;131076.71875;184502.9375;47435.61328125;0;0;0;0;0;0;0;0
P28274;64710.28;59788.25390625;26061.16015625;28732.009765625;48140.42578125;0;0;0;0;0;0;0;0;0;0;0;0
P28319;24268.31;59564.6953125;64706.5625;68956.21875;65713.46875;159208.875;147920.171875;135886.53125;141793.5625;176213.90625;388173.84375;383805.25;379603.125;75540.2265625;117978.84375;142902.28125;130998.9140625
P28320;32311.94;0;0;0;0;11936.001953125;36235.83984375;14300.3115234375;10752.150390625;34696.10546875;62803.1953125;71031.9375;71185.4375;176949.859375;161038.46875;162503.265625;179189.234375
P28495;30699.33;36904.6640625;36720.9609375;33269.390625;44144.96875;26174.998046875;29944.294921875;29083.923828125;21959.984375;120976.4921875;39013.69140625;52998.29296875;41628.58203125;28862.216796875;32712.724609375;50954.3828125;29961.765625
P28496;48992.05;149160.0625;208865.796875;160355.328125;139974.78125;74774.9140625;83726.7421875;68942.0546875;153540.84375;153530.765625;348801.9375;413116.09375;331495.5;2686455.5;1984308.75;1371562.75;1213449
P28519;43038.31;0;0;0;0;41145.65234375;49868.25;45911.6875;61883.04296875;45519.6328125;176893.4375;151596.015625;189323.578125;302628.25;277882.09375;315696.5;267976.40625
P28707;24081.67;1126909.75;1028728.9375;959067.25;930112.9375;3836012.5;3687571.25;3545038;3814964.5;8960629;13362507;12215613;13763662;4620343.5;6834718;8332678;8022786
P28708;58956.13;0;0;0;0;0;0;0;0;24480.984375;41924.46875;34515.40625;26601.12109375;231748.734375;180052.875;159838.953125;151572.921875
P28777;40838.31;281488.5625;321772.8125;341245.28125;333077.3125;367113.59375;451532.96875;553563.6875;354059.125;122087.0625;116252.90625;100381.8359375;111656.4453125;648605.5;534999.75;474182.3125;485262.71875
P28789;36674.56;0;0;0;0;0;0;0;0;7386.36669921875;18908.03515625;16824.005859375;17582.96875;1031.24938964844;2806.52685546875;6061.5009765625;6079.0703125
P28834;39324.03;246591.6875;258883.671875;288307.375;308747.59375;45787.94140625;47472.83984375;52568.296875;41955.41015625;80467.8359375;36995.67578125;42869.5078125;51064.671875;176291.484375;140408;125951.8984375;98117.2265625
P29029;59014.85;16579.79296875;19292.5703125;21296.923828125;17348.244140625;28995.734375;23025.431640625;24918.029296875;23200.232421875;102402.671875;120810.7109375;142703.6875;131337.375;11441.9462890625;10036.833984375;7630.82470703125;16560.873046875
P29055;38200.3;16127.0439453125;18339.896484375;21102.201171875;13325.39453125;13010.6005859375;21552.314453125;18970.720703125;20118.109375;54109.03515625;36455.22265625;39859.04296875;41703.53515625;153040.671875;119597.7890625;104485.0703125;97776.4765625
P29295;57340.02;37471.5;12087.4921875;7965.8447265625;13169.8994140625;10645.0556640625;12462.248046875;11346.337890625;40420.2578125;115161.3203125;149829.078125;103030.640625;77371.1640625;424333.09375;795277.625;810477.875;789761.3125
P29311;30091.39;3131605.25;2968096.75;3162954.5;3173776;4793825.5;3966857.75;4523357;4489174;1139677.25;1146411.875;1599828.875;1481888.125;2135175.5;1899169;1654667.375;1568319.75
P29366;61605.37;11679.9423828125;10820.8544921875;14183.025390625;10899.892578125;75764.0546875;69769.6484375;49272.0390625;78386.09375;198339.828125;284587.625;277923.125;278743.53125;434394.65625;479340.3125;535098.625;528883.3125
P29453;28111.77;453932.5;393881.5625;361896.25;465688.59375;25871.611328125;32600.5078125;21340.748046875;31596.12109375;43325.0390625;41543.49609375;40150.83203125;32256.544921875;341172.0625;285048;256804.53125;253415.078125
P29478;31169.81;110905.2265625;115168.9765625;117631.1015625;83594.734375;60339.71484375;55207.65234375;56535.5625;56206.12109375;235191.75;224892.234375;194965.40625;203462.515625;811912.5625;688173.875;607564.8125;608432.375
P29509;34238.07;732400.3125;724521.5625;741468.5;818497.625;1256395.5;1480133.5;1450534.625;1234390.875;2437818.5;929029.25;1175961.25;1145307.375;198030;192898.65625;210062.0625;211544.828125
P29539;217930.6;0;0;0;0;0;0;0;0;820358.4375;44735.78125;37640.2734375;42993.8828125;0;0;0;0
P29547;47087.72;35869.48828125;34679.55859375;42291.9765625;41885.97265625;35733.953125;40499.578125;30221.927734375;46058.48828125;298787.3125;255403.71875;233725.875;218809.6875;1907810.375;1570872;1345272.75;1579924.5
P29952;48188.72;421908.03125;464298.1875;472964.46875;469136.78125;1585847;2035354;1717245.25;1283118.25;7263461.5;3242972.5;3885060.5;3690423;293044.3125;424671.34375;457123.3125;610949.0625
P30619;83480.42;0;0;0;0;0;0;0;0;0;0;0;0;23901.078125;41979.078125;26614.986328125;41244.2890625
P30657;29443.37;12145.3759765625;10181.8076171875;14562.12890625;11882.9072265625;0;0;0;0;0;0;0;0;0;0;0;0
P30665;105003.43;20343.474609375;23958.74609375;22447.703125;22527.26171875;20631.767578125;16633.666015625;16510.765625;31874.84765625;62019.26953125;81282.3828125;74480.359375;82655.7734375;387257.3125;321645.1875;326103.875;328696.375
P30771;109430.14;3047.15258789063;1757.80065917969;3351.28271484375;656.877868652344;0;0;0;0;0;0;0;0;10155.6025390625;4660.13330078125;4909.529296875;7797.4814453125
P30822;124104.17;232606.9375;177501.390625;172153.4375;180203.21875;94076.671875;97298.375;101930.5390625;157486.5625;68567.765625;193312.765625;157479;168391.921875;1869205;1612998;1151189.625;1175218.375
P30902;19809.6;25617.10546875;26433.12890625;26167.177734375;19996.5078125;49092.171875;32697.86328125;34928.3046875;45305.01953125;67323.8046875;79137.8984375;61375.03125;64335.9375;133808.875;102145.7734375;97816.3984375;116478.3828125
P31109;13201.26;123541.9765625;116877.59375;83997.546875;69960.0859375;136186.984375;147681.78125;124005.0859375;326751.40625;154820.46875;295776.15625;291682.28125;511269.28125;1899393.125;2046405.25;1496259.75;1484230.25
P31116;38502.12;275098.25;400980.25;531066.75;679602.3125;755634.375;1188458.25;1462406.5;390161.53125;1464639.375;132410.21875;181597.875;317713.125;43010.4765625;43426.47265625;36703.125;33679.234375
P31373;42542.08;2400146.75;2595413.5;2313683.25;2406342.25;826597.375;1100041;1569928.125;499569.09375;45328.609375;48545.71875;53470.078125;56473.0234375;138980.296875;108926.8828125;120416.5703125;106333.484375
P31377;29048.74;15859.04296875;15172.5341796875;18709.888671875;18970.94921875;28131.755859375;26520.166015625;24552.962890625;24210.51953125;113639.1953125;110842.125;108058.953125;107054.234375;119415.1015625;131840.484375;148539.015625;131641.1875
P31380;128506.78;21951.552734375;23614.580078125;23311.814453125;15570.7802734375;41909.390625;34485.234375;33574.6171875;25920.53125;67623.109375;104239.6171875;96740.171875;102458.5546875;328815.65625;306783.6875;270225.9375;306586.90625
P31382;86869.74;57150.97265625;72946.6484375;48524.359375;53474.71875;7237.0166015625;8311.81640625;6618.79345703125;26746.673828125;8586.9189453125;29131.669921875;30748.4296875;14262.2763671875;107814.4609375;88310.765625;66706.0390625;50314.77734375
P31383;70907.38;20008.814453125;21437.021484375;33310.69140625;23662.896484375;10888.43359375;8019.642578125;13920.1611328125;11519.4287109375;47316.23046875;29684.576171875;31307.09375;36562.6328125;91878.4375;78604.1484375;81752.3671875;71620.75
P31384;94669.73;15607.37890625;23942.703125;25356.859375;25152.439453125;34416.5234375;23723.654296875;26774.365234375;28915.337890625;68366.625;87760.0703125;80030.109375;83026.546875;48053.77734375;79103.28125;80564.9140625;79327.3828125
P31412;44188.53;61712.4609375;76756.7578125;95144.125;109790.0546875;48821.0625;62753.4140625;67247.140625;38561.25;82322.875;32805.5234375;29690.521484375;36904.6640625;202155.125;156333.46875;92848.953125;99469.7734375
P31539;102034.97;181765.875;192311.015625;213021;246333.703125;160146.375;160671.734375;148714.34375;169553.90625;293535.28125;329898.21875;295961.46875;300824.125;788186.125;731493.4375;694055.1875;670586.5
P31688;102976.25;10331.013671875;13970.0791015625;14153.8544921875;13185.029296875;0;0;0;0;0;0;0;0;0;0;0;0
P31787;10061.36;223654.875;254796.921875;232996.234375;194888.046875;678670.5;599517.375;563915.9375;1067471.625;7912965.5;3093633.25;2417584.5;2977534;16689690;17068584;16672118;17979342
P32047;49210.15;114064.875;108174.6796875;105067.9609375;104067.2734375;223269.21875;188957.328125;188042.578125;248032.359375;406974.75;593220.8125;560524.125;563215.625;922175;947227.25;909834.25;922862.4375
P32074;104831.19;22506.35546875;33944.74609375;33575.0703125;38824.28125;51013.3515625;55285.6796875;40343.125;42245.390625;92944.1875;103382.2578125;103079.28125;101938.46875;163412.875;139437.3125;138225.375;142563.859375
P32178;29747.17;10872.2412109375;16880.04296875;16574.09375;15351.3876953125;984941.625;927271;941507.6875;546264.9375;170870.6875;51085.046875;42967.00390625;52910.60546875;321300.5;243252.078125;324648.78125;353990.5625
P32179;39149.27;51637.37890625;61083.46875;52044.08984375;56269.01953125;186035.28125;260706.84375;210319.875;92958.6796875;1435571;401631.375;497341.53125;497750.6875;45186.77734375;62362.8828125;53247.58203125;109202.3515625
P32263;30131.8;627922.9375;680440.625;910743.375;788545.6875;152023.171875;156336.0625;135431.03125;201582.0625;553228.75;648584.875;617297.0625;584846.875;1440604.125;1236211.25;1267890.375;1189616.875
P32264;47162.1;27703.123046875;30970.330078125;30038.271484375;27473.099609375;56634.80078125;50446.57421875;51895.046875;58516.37890625;113103.203125;159067.4375;152217.140625;142336.5;199056.8125;209097.609375;222587.953125;213403.890625
P32288;41766;105581.2890625;109847.9140625;114351.140625;166301.21875;30434.541015625;32037.1328125;31690.515625;51562.6484375;134503.75;195206.96875;212087.015625;161028.4375;358929.0625;279773.25;222427.15625;173548.125
P32319;177777.44;35533.59375;39375.31640625;35730.0078125;36146.5078125;13546.314453125;25130.404296875;21329.814453125;17467.404296875;11731.3203125;17175.568359375;29368.55859375;21718.724609375;24721.12109375;23271.919921875;23067.404296875;16109.390625
P32324;93289.18;2398913.5;2234716;2273924.25;2689865.75;1864508.375;2304518;2496880.25;1796865.5;2094005.625;1724157.5;1649248.125;1729584.875;7678697;6786453.5;6185335;5110167.5
P32327;130166.68;95105.1484375;87689.2421875;99302.9296875;143794.71875;0;0;0;0;0;0;0;0;0;0;0;0
P32329;60009.79;35626.9296875;32528.859375;32461.75;36919.4765625;30494.05859375;18855.771484375;29311.59765625;31845.748046875;0;0;0;0;0;0;0;0
P32330;96021.7;0;0;0;0;0;0;0;0;0;0;0;0;117194.15625;53722.05859375;71376.546875;58269.59765625
P32333;209976.56;0;0;0;0;34928.7421875;66167.5390625;73469.3203125;168954.21875;176693.078125;247264.265625;114530.3203125;132418.3125;164393.28125;342235.25;371504.65625;438955.40625
P32342;18425.23;146317.890625;130607.0546875;122656.8125;108979.7578125;18597.87109375;10996.435546875;16360.302734375;32387.00390625;8971.4931640625;33879.06640625;33148.8671875;36852.06640625;118602.6796875;88175.78125;79878.8046875;72064.7265625
P32347;41349.03;100390.4765625;87506.5234375;65745.109375;69040.796875;185710.75;263932.09375;230148.375;76851.453125;5682.99072265625;90134.671875;103537.875;113552.6640625;0;0;0;0
P32349;74016.93;32351.765625;38677.08203125;33326.3828125;28999.9453125;0;0;0;0;0;0;0;0;0;0;0;0
P32351;39070.69;0;0;0;0;0;0;0;0;24839.68359375;45252.3359375;58350.2421875;61737.48828125;133256.546875;125161.6484375;88785.953125;108198.5703125
P32353;42730.3;3244.36962890625;4233.392578125;13149.7587890625;4980.5458984375;2334.94189453125;1677.22705078125;1976.37915039063;8357.0615234375;5338.44970703125;7014.4775390625;7266.6572265625;5041.3740234375;132456.53125;97851.9140625;70260.734375;65033.3125
P32356;85879.22;87458.7578125;106398.0546875;85559.1875;83235.7265625;74434.4921875;66158.109375;59302.74609375;75936.6953125;449674.375;428237.75;377292.21875;459896.03125;543507.375;564556.6875;534825.125;584586.125
P32364;73799.23;0;0;0;0;0;0;0;0;21072.4921875;41991.69140625;37743.19921875;29893.794921875;67754.9375;78879.421875;48367.875;72776.484375
P32368;71124.63;9310.5390625;9914.44140625;19395.162109375;11930.56640625;0;0;0;0;0;0;0;0;35020.42578125;20207.59375;18739.076171875;13458.482421875
P32377;44115.9;86580.515625;121660.9453125;125231.7109375;161433.21875;157008.984375;295124.71875;259770.734375;66635.765625;75988.4140625;46194.8203125;52525.59375;55143.37109375;0;0;0;0
P32379;28617.11;769283;650165.1875;601985.5;705440.6875;64149.625;58449.0078125;55595.36328125;55068.19921875;46052.41015625;33505.60546875;45534.375;52081.50390625;0;0;0;0
P32380;111781.75;64995.6171875;67414.5703125;71407.7109375;67014.96875;120301.7421875;101589.8671875;104624.3203125;124585.546875;145239.46875;194972.859375;171802.15625;187301.171875;365712.09375;344504.25;342173.40625;342668.15625
P32381;44073.52;70330.46875;55665.375;44647.65625;57332.96484375;53807.34765625;13877.9677734375;28759.833984375;18485.4375;29644.955078125;37437.3046875;26131.271484375;26128.314453125;107622.2109375;155534.875;126406.9375;108274.578125
P32386;189162.38;11183.3916015625;11633.4794921875;15888.83203125;15573.09765625;0;0;0;0;0;0;0;0;0;0;0;0
P32389;74372.5;9652.2529296875;9366.1806640625;7800.5078125;8560.58203125;12546.310546875;12527.2939453125;11713.2197265625;13581.712890625;54627.66796875;78169.640625;72072.6953125;72444.9921875;83049.9921875;80941.6328125;72548.9453125;82797.609375
P32419;37186.16;54004.140625;55138.66796875;56562.37109375;59039.41015625;33495.3203125;32134.55859375;26834.26171875;25092.0859375;70556.125;50805.6171875;49437.19921875;54775.08203125;244032.59375;156748.765625;158437.15625;130337.3671875
P32432;74785.23;0;0;0;0;5194.85791015625;11455.6552734375;9295.7841796875;11550.6435546875;59889.515625;88086.3125;65550.96875;53887.28515625;67040.5625;53875.4921875;55731.078125;79369.7421875
P32445;15386.16;745170.6875;631563.75;667823.375;626577.5;301257;218397.328125;281109.15625;309098.125;151121.34375;145025.75;133274.078125;144129.265625;491982.125;409603.8125;413060.34375;382612.84375
P32447;31603.41;39276.328125;41734.5703125;45015.5078125;36374.08203125;64001.21875;60714.4609375;60746.31640625;46106.62109375;65313.83203125;69236.5390625;74390.6484375;63473.24609375;136216.09375;127042.171875;126707.9296875;121026.4296875
P32449;39749.13;290616.40625;325336.71875;309165.5625;302812.625;385592.125;414548.78125;424438.34375;370580.6875;392763.9375;105810.375;174584.28125;167902.484375;162810.40625;154949.265625;112562.3046875;84764.125
P32453;36851.26;79645.6328125;90248.9375;91127.0078125;81107.3046875;45002.2890625;39725.921875;37305.09765625;33551.87890625;95068.765625;79511.625;91058.796875;96217.6796875;26631.109375;36361.3515625;42671.4375;46072.4609375
P32454;107755.06;53378.22265625;95129.2421875;130678.90625;151650.53125;110194.8828125;188375.8125;221784.359375;49903.46484375;41957.53125;15360.6640625;12976.30859375;21898.69140625;44932.55859375;31196.203125;25364.583984375;31370.8046875
P32457;60054.31;68199.0390625;59639.18359375;73846.71875;63877.90234375;68519.71875;49486.828125;45393.71875;85223.125;465100;408549.4375;353301.4375;382763.5;767495.625;680299.625;620913;610724.3125
P32458;47648.52;11812.7607421875;21873.779296875;23829.84765625;14924.2783203125;16593.27734375;18254.26171875;16295.1083984375;22013.681640625;182300.375;96317.9453125;119445.453125;118028.7421875;576112.375;532111.9375;487481.96875;456422.125
P32461;59775.42;16213.3916015625;19572.59765625;24923.927734375;20109.33203125;30287.025390625;30970.025390625;31426.37890625;37390.6171875;70254.9921875;59915.62890625;87411.1953125;83964.6015625;164208.984375;136518.4375;126182.09375;126004.0234375
P32463;13942.67;187419.84375;203669.59375;223063.953125;208336.734375;378028.78125;361192.96875;296056.25;492524.4375;577809.1875;2173147;1858284;1954178;5250040.5;5002927;5279726;5697410
P32465;63261.34;35632.92578125;45929.3828125;45520.07421875;42391.65625;0;0;0;0;12448.587890625;42830.61328125;21215.70703125;37396.88671875;586035.625;478996.3125;348334.71875;338255.3125
P32466;62557.59;60451.890625;69282.0078125;74211.3515625;86237.171875;0;0;0;0;0;0;0;0;0;0;0;0
P32468;46667.98;5592.244140625;5171.65576171875;8300.8564453125;8024.2412109375;26554.953125;21926.46875;23181.130859375;36648.9140625;62335.5;153303.171875;113095.03125;141185.0625;357023.09375;318637.875;281292.75;274388.65625
P32469;33847.38;127401.2421875;162135.5;161466.8125;204276.578125;187533.703125;287572.75;291152.90625;93206.40625;0;0;0;0;0;0;0;0
P32471;22627.04;9887802;9858856;8956019;8672550;19323176;18044084;22625018;19817932;9393585;11748358;14419958;13609267;13094762;13991513;14689438;14380748
P32472;14486.88;607655.625;578034.0625;551415.5625;567665.25;1182085.5;1100322.5;961301.5;1529703.75;4166626;5513271.5;5019388.5;5895091.5;11358146;12130796;15209743;13788999
P32473;40053.64;137613.40625;142861.640625;164577.8125;161317.328125;65814.2578125;54381.3359375;53476.875;69403.1796875;69988.5546875;195003.546875;171986;185236.171875;503912.28125;425455.09375;453375.28125;360441.96875
P32474;58982.08;0;0;0;0;0;0;0;0;33831.375;10576.2578125;14398.95703125;14571.05078125;0;0;0;0
P32476;55125.87;7723.84228515625;12639.896484375;13894.4404296875;17552.21484375;0;0;0;0;0;0;0;0;0;0;0;0
P32477;78253.6;22944.310546875;31912.607421875;24462.49609375;38923.53125;7964.8544921875;14023.0673828125;18737.837890625;30861.279296875;0;0;0;0;0;0;0;0
P32478;41059.19;62504.42578125;61154.453125;58228.62109375;60039.53515625;135085.171875;127109.984375;119575.7109375;146211.375;104869.7265625;248511.03125;255293.84375;214528.40625;163562.265625;159675.25;154021.984375;161546.4375
P32481;57865.83;35198.1171875;38670.33984375;44285.125;33961.39453125;53498.171875;52209.15234375;42917.375;63440.734375;396316.21875;528814.125;463596.90625;511380.875;1082534.25;1027997.3125;946727.3125;948408.4375
P32486;80122.85;79404.2578125;86914.265625;96540.703125;97680.375;68687.0546875;66305.296875;68028.6875;57290.83203125;39594.421875;146751.296875;154939.890625;150343.015625;138868.453125;120938.2109375;136020.546875;101716.109375
P32487;68089.7;0;0;0;0;0;0;0;0;0;0;0;0;111479.875;109528.0390625;76094.9140625;127678.203125
P32490;56720.21;2148.86279296875;0;1134.04150390625;2433.9892578125;0;0;0;0;3913.32958984375;11235.7734375;13605.8349609375;24870.822265625;93450.890625;80844.0625;47728.375;64263.64453125
P32491;56757.55;0;0;0;0;0;0;0;0;64636.10546875;128028.3359375;115137.2109375;124745.1484375;453986.5;374774.46875;371908.375;364354.71875
P32494;79282.14;0;0;0;0;0;0;0;0;57984.9453125;125745.4296875;115001.3515625;138487.875;285318.46875;261009.875;315080.40625;262246.1875
P32495;17121.99;237633.828125;196183.9375;237480.59375;208927.21875;140300.359375;147631.5;136407.703125;397899.125;909299.8125;711773.625;488774.84375;533195.125;4638441;4582897;4060992.5;4392428.5
P32496;31919.21;70705.3359375;76304.359375;84778.1640625;68540.15625;102085.4296875;92379.2578125;79057.6640625;77473.0390625;512894.1875;315588.78125;323579.3125;362845.71875;163705.953125;170524.25;205646.25;176483.109375
P32497;93204.49;43749.2109375;44121.078125;41251.83984375;38622.3046875;23847.091796875;20762.02734375;20953.86328125;33568.80859375;116638.265625;155492.09375;144655.265625;142925.015625;365416.125;406754;445306.34375;440829.34375
P32499;77880.84;176202.34375;184728.515625;189674.640625;169420.0625;663139;568351.3125;555278.9375;641467.25;1575551.75;1643918.625;1658811.5;1600444.625;1605093;1419130;1353463.375;1394180
P32501;81161.26;89524.5390625;87375.546875;78255.8203125;78378.515625;0;0;0;0;0;0;0;0;35064.4296875;34552.421875;39348.6015625;25116.568359375
P32505;58320.82;103529.234375;102613.5546875;101146;104399.515625;168279.671875;162087.65625;154207.921875;166802.6875;340111.15625;474191;478851.0625;434255.46875;442576.0625;507503.3125;529919.5;504755.90625
P32521;160267.49;232873.96875;224104.421875;233406.234375;211592.46875;513783.84375;438552.90625;452060.375;518621.875;582467.6875;613959.1875;623099.375;606139.75;724282.5;719855.625;708589.8125;682566.5
P32524;33052.41;0;0;0;0;0;0;0;0;0;0;0;0;34701.58203125;34021.2421875;24636.208984375;28859.9296875
P32525;68463.88;16456.39453125;12095.8076171875;12893.025390625;14551.5009765625;39798.2578125;33615.18359375;28277.28125;42023.4453125;58434.703125;134522.328125;117557.9140625;136317.96875;172629.984375;150290.578125;146211.828125;140050.328125
P32527;49019.96;209698.0625;197793.140625;222202.546875;217624.96875;287200.90625;281566.90625;276063.9375;336472.625;602494.375;880055.8125;833739.125;786917.1875;3169550;2833568.5;2599822.5;2555366.75
P32528;201832.11;29105.525390625;52208.8203125;58390.60546875;61841.1640625;159098.546875;135892.65625;117888.65625;186694.8125;918727.375;904708.9375;799499.375;927599.125;2912531.75;3294870;3923272.75;4275795.5
P32529;13660.56;433290.03125;435142;427644.0625;391881.90625;266527.46875;275928.90625;226882.03125;352542.5625;1078085.625;1593747.5;1313255.375;1465433.75;2604769.5;2667351.25;2752263;2791154
P32558;118630.19;6577.09814453125;7660.61865234375;8585.7109375;11148.7080078125;11330.525390625;8369.416015625;8814.7216796875;10071.3740234375;26912.521484375;38184.3984375;31991.26953125;30415.720703125;319793.59375;280524.28125;236078.375;252023.59375
P32561;48904.08;0;0;0;0;0;0;0;0;0;0;0;0;114924.3046875;95752.4140625;72207.171875;51595.80078125
P32563;95528.76;71186.84375;79954.390625;76939.8984375;95227.90625;0;0;0;0;0;0;0;0;295389.5625;199005.078125;157272.625;117508.6953125
P32565;104232.07;142147.5;145398.5625;155452.125;138500.71875;143896.484375;135865.625;137217.9375;160400.703125;305756.84375;390789.15625;441189.25;401819.34375;1092762.625;958644.375;881732.875;915684.25
P32566;57079.36;69170.046875;64381.953125;68238.9296875;66074.125;91378.046875;70302.9296875;83202.3203125;100141.2265625;53320.921875;62284.19921875;67962.140625;64069.05078125;51427.78125;50722.76171875;57525.7265625;57861.35546875
P32567;95030.92;0;0;0;0;7021.587890625;7483.26904296875;6529.10400390625;8707.6474609375;32714.572265625;46672.09375;43896.4296875;40284.4921875;20579.314453125;27739.77734375;36213.90625;35806.2421875
P32568;168766.5;64594.64453125;58448.765625;61475.875;59712.62109375;43407.42578125;44819.375;50273.4609375;54556.68359375;218333.859375;255633.875;231592.09375;191314.71875;307296.15625;329539.125;327139;302615.40625
P32569;78475.96;15014.607421875;13809.8076171875;15516.4267578125;13071.7470703125;25281.244140625;15044.91796875;17265.4140625;22047.87109375;37238.921875;53188.54296875;56097.6640625;56566.13671875;280074.125;178201.1875;135544.53125;109441.8671875
P32570;13862.78;10480.177734375;9953.6044921875;9694.6640625;7806.0302734375;16775.587890625;15054.021484375;13622.16015625;13909.5244140625;44335.01171875;54277.26953125;50079.94921875;48769.14453125;50676.15625;74464.5390625;68793.7265625;56151.88671875
P32578;91070.66;15140.2119140625;10252.9033203125;9810.4375;15008.61328125;42120.6875;36117.18359375;35535.5390625;35211.48828125;53083.46875;87248.9609375;87591.8203125;76666.4921875;155201.109375;141268.3125;153609.9375;137584.140625
P32582;56021.88;296596.875;348542.65625;372059.03125;314463.9375;240719.546875;254066.578125;265808.4375;163332.578125;379189.34375;211443.875;206431.625;243665.359375;335795.59375;300812.78125;279009.53125;237848.5
P32583;41015.36;16779.263671875;15869.7744140625;13595.6591796875;9978.6611328125;43655.1796875;39509.890625;37407.1875;63230.49609375;211606.859375;214769.703125;188917.6875;188550.953125;1014233.5625;825666.6875;685069.3125;813604.9375
P32588;50762.86;94843.640625;95504.1875;120087.4375;98219.984375;194764.375;172618.515625;171539.46875;167136.5;564983.9375;699556.1875;698371.0625;704113.5625;328979.875;347040.1875;374321.71875;356815.0625
