"Gene > Standard Name","Gene > Systematic Name","Gene > Name","Gene > Homologues > Homologue > Standard Name","Gene > Homologues > Homologue > Name","Gene > Homologues > Homologue . Organism . Short Name","Gene > Homologues > Homolog Gene Identifier","Gene > Homologues > Homologue > Cross References > Identifier","Gene > Homologues > Homologue > Diseases > Identifier","Gene > Homologues > Homologue > Diseases > Name","Gene > Homologues > Data Sets > Data Source > Name","Gene > Homologues > Algorithms","Gene > Homologues > Algorithms Match","Gene > Homologues > Algorithms Attempted"
"CDC19","YAL038W","Cell Division Cycle","PKM","pyruvate kinase, muscle","H. sapiens","5315","179050","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC20","YGL116W","Cell Division Cycle","CDC20","cell division cycle 20","H. sapiens","991","603618","","","DiOPT","Hieranoid|PANTHER|Ensembl Compara|OrthoFinder","4","9"
"CDC21","YOR074C","Cell Division Cycle","TYMS","thymidylate synthetase","H. sapiens","7298","188350","","","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC23","YHR166C","Cell Division Cycle","CDC23","cell division cycle 23","H. sapiens","8697","603462","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC24","YAL041W","Cell Division Cycle","KALRN","kalirin, RhoGEF kinase","H. sapiens","8997","604605","608901","CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5","DiOPT","Ensembl Compara|PhylomeDB","2","9"
"CDC25","YLR310C","Cell Division Cycle","SOS1","son of sevenless homolog 1 (Drosophila)","H. sapiens","6654","182530","610733","NOONAN SYNDROME 4; NS4","DiOPT","SonicParanoid|OrthoInspector|Ensembl Compara|PANTHER","4","9"
"CDC25","YLR310C","Cell Division Cycle","SOS1","son of sevenless homolog 1 (Drosophila)","H. sapiens","6654","182530","135300","FIBROMATOSIS, GINGIVAL, 1; GINGF1","DiOPT","SonicParanoid|OrthoInspector|Ensembl Compara|PANTHER","4","9"
"CDC25","YLR310C","Cell Division Cycle","SOS2","son of sevenless homolog 2 (Drosophila)","H. sapiens","6655","601247","616559","NOONAN SYNDROME 9; NS9","DiOPT","SonicParanoid|OrthoInspector|Ensembl Compara|PANTHER","4","9"
"CDC27","YBL084C","Cell Division Cycle","CDC27","cell division cycle 27","H. sapiens","996","116946","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC28","YBR160W","Cell Division Cycle","CDK1","cyclin-dependent kinase 1","H. sapiens","983","116940","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|InParanoid","5","9"
"CDC28","YBR160W","Cell Division Cycle","CDK2","cyclin-dependent kinase 2","H. sapiens","1017","116953","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC28","YBR160W","Cell Division Cycle","CDK3","cyclin-dependent kinase 3","H. sapiens","1018","123828","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC3","YLR314C","Cell Division Cycle","SEPT1","septin 1","H. sapiens","1731","612897","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER","5","9"
"CDC3","YLR314C","Cell Division Cycle","SEPT2","septin 2","H. sapiens","4735","601506","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|InParanoid","6","9"
"CDC3","YLR314C","Cell Division Cycle","SEPT4","septin 4","H. sapiens","5414","603696","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|InParanoid","6","9"
"CDC3","YLR314C","Cell Division Cycle","SEPT5","septin 5","H. sapiens","5413","602724","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|InParanoid","6","9"
"CDC3","YLR314C","Cell Division Cycle","SEPT7","septin 7","H. sapiens","989","603151","","","DiOPT","OrthoInspector|OMA|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC31","YOR257W","Cell Division Cycle","CETN3","centrin, EF-hand protein, 3","H. sapiens","1070","602907","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC33","YOL139C","Cell Division Cycle","EIF4E","eukaryotic translation initiation factor 4E","H. sapiens","1977","133440","615091","AUTISM, SUSCEPTIBILITY TO, 19; AUTS19","DiOPT","OrthoInspector|OMA|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC34","YDR054C","Cell Division Cycle","CDC34","cell division cycle 34","H. sapiens","997","116948","","","DiOPT","OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC34","YDR054C","Cell Division Cycle","UBE2G1","ubiquitin-conjugating enzyme E2G 1","H. sapiens","7326","601569","","","DiOPT","SonicParanoid|InParanoid|PANTHER","3","9"
"CDC34","YDR054C","Cell Division Cycle","UBE2R2","ubiquitin-conjugating enzyme E2R 2","H. sapiens","54926","612506","","","DiOPT","OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC36","YDL165W","Cell Division Cycle","CNOT2","CCR4-NOT transcription complex, subunit 2","H. sapiens","4848","604909","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER","5","9"
"CDC37","YDR168W","Cell Division Cycle","CDC37","cell division cycle 37","H. sapiens","11140","605065","","","DiOPT","Ensembl Compara|OrthoFinder|Hieranoid|PANTHER","4","9"
"CDC37","YDR168W","Cell Division Cycle","CDC37L1","cell division cycle 37-like 1","H. sapiens","55664","610346","","","DiOPT","Ensembl Compara|OrthoFinder|Hieranoid|PANTHER","4","9"
"CDC39","YCR093W","Cell Division Cycle","CNOT1","CCR4-NOT transcription complex, subunit 1","H. sapiens","23019","604917","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC4","YFL009W","Cell Division Cycle","FBXW7","F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase","H. sapiens","55294","606278","","","DiOPT","Hieranoid|PhylomeDB|OrthoFinder","3","9"
"CDC40","YDR364C","Cell Division Cycle","CDC40","cell division cycle 40","H. sapiens","51362","605585","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC42","YLR229C","Cell Division Cycle","CDC42","cell division cycle 42","H. sapiens","998","116952","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC43","YGL155W","Cell Division Cycle","PGGT1B","protein geranylgeranyltransferase type I, beta subunit","H. sapiens","5229","602031","","","DiOPT","OMA|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara","5","9"
"CDC45","YLR103C","Cell Division Cycle","CDC45","cell division cycle 45","H. sapiens","8318","603465","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC48","YDL126C","Cell Division Cycle","VCP","valosin containing protein","H. sapiens","7415","601023","613954","AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS14","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC48","YDL126C","Cell Division Cycle","VCP","valosin containing protein","H. sapiens","7415","601023","167320","INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC5","YMR001C","Cell Division Cycle","PLK1","polo-like kinase 1","H. sapiens","5347","602098","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC5","YMR001C","Cell Division Cycle","PLK2","polo-like kinase 2","H. sapiens","10769","607023","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|InParanoid","6","9"
"CDC5","YMR001C","Cell Division Cycle","PLK3","polo-like kinase 3","H. sapiens","1263","602913","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","7","9"
"CDC50","YCR094W","Cell Division Cycle","TMEM30A","transmembrane protein 30A","H. sapiens","55754","611028","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC50","YCR094W","Cell Division Cycle","TMEM30B","transmembrane protein 30B","H. sapiens","161291","611029","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC53","YDL132W","Cell Division Cycle","CUL1","cullin 1","H. sapiens","8454","603134","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC53","YDL132W","Cell Division Cycle","CUL2","cullin 2","H. sapiens","8453","603135","","","DiOPT","SonicParanoid|OrthoInspector|InParanoid","3","9"
"CDC55","YGL190C","Cell Division Cycle","PPP2R2A","protein phosphatase 2, regulatory subunit B, alpha","H. sapiens","5520","604941","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC55","YGL190C","Cell Division Cycle","PPP2R2B","protein phosphatase 2, regulatory subunit B, beta","H. sapiens","5521","604325","604326","SPINOCEREBELLAR ATAXIA 12; SCA12","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC55","YGL190C","Cell Division Cycle","PPP2R2C","protein phosphatase 2, regulatory subunit B, gamma","H. sapiens","5522","605997","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CDC55","YGL190C","Cell Division Cycle","PPP2R2D","protein phosphatase 2, regulatory subunit B, delta","H. sapiens","55844","613992","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC6","YJL194W","Cell Division Cycle","CDC6","cell division cycle 6","H. sapiens","990","602627","613805","MEIER-GORLIN SYNDROME 5; MGORS5","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC60","YPL160W","Cell Division Cycle","LARS","leucyl-tRNA synthetase","H. sapiens","51520","151350","615438","INFANTILE LIVER FAILURE SYNDROME 1; ILFS1","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDC7","YDL017W","Cell Division Cycle","CDC7","cell division cycle 7","H. sapiens","8317","603311","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CDC73","YLR418C","Cell Division Cycle","CDC73","cell division cycle 73","H. sapiens","79577","607393","608266","PARATHYROID CARCINOMA","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","6","9"
"CDC73","YLR418C","Cell Division Cycle","CDC73","cell division cycle 73","H. sapiens","79577","607393","145001","HYPERPARATHYROIDISM 2; HRPT2","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","6","9"
"CDC73","YLR418C","Cell Division Cycle","CDC73","cell division cycle 73","H. sapiens","79577","607393","145000","HYPERPARATHYROIDISM 1; HRPT1","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","6","9"
"CDC8","YJR057W","Cell Division Cycle","DTYMK","deoxythymidylate kinase","H. sapiens","1841","188345","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|Ensembl Compara|InParanoid","8","9"
"CDC9","YDL164C","Cell Division Cycle","LIG1","ligase I, DNA, ATP-dependent","H. sapiens","3978","126391","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDD1","YLR245C","CytiDine Deaminase","CDA","cytidine deaminase","H. sapiens","978","123920","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|InParanoid","7","9"
"CDH1","YGL003C","CDC20 Homolog","FZR1","fizzy/cell division cycle 20 related 1","H. sapiens","51343","603619","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PANTHER|InParanoid","6","9"
"CDS1","YBR029C","CDP-Diacylglycerol Synthase","CDS1","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1","H. sapiens","1040","603548","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CDS1","YBR029C","CDP-Diacylglycerol Synthase","CDS2","CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2","H. sapiens","8760","603549","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CEF1","YMR213W","CErevisiae homolog of cdc Five","CDC5L","cell division cycle 5-like","H. sapiens","988","602868","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara","6","9"
"CEG1","YGL130W","Capping Enzyme Guanylyltransferase","RNGTT","RNA guanylyltransferase and 5'-phosphatase","H. sapiens","8732","603512","","","DiOPT","Ensembl Compara|OrthoInspector|Hieranoid|PANTHER","4","9"
"CEM1","YER061C","Condensing Enzyme with Mitochondrial function","OXSM","3-oxoacyl-ACP synthase, mitochondrial","H. sapiens","54995","610324","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CEX1","YOR112W","Cytoplasmic EXport protein","SCYL1","SCY1-like, kinase-like 1","H. sapiens","57410","607982","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"CEX1","YOR112W","Cytoplasmic EXport protein","SCYL3","SCY1-like, kinase-like 3","H. sapiens","57147","608192","","","DiOPT","OrthoInspector|PANTHER|OrthoFinder","3","9"
"CFD1","YIL003W","Cytosolic Fe-S cluster Deficient","NUBP2","nucleotide binding protein 2","H. sapiens","10101","610779","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CFT1","YDR301W","Cleavage Factor Two","CPSF1","cleavage and polyadenylation specific factor 1, 160kDa","H. sapiens","29894","606027","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CFT2","YLR115W","Cleavage Factor Two","CPSF2","cleavage and polyadenylation specific factor 2, 100kDa","H. sapiens","53981","606028","","","DiOPT","OrthoFinder|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","6","9"
"CGI121","YML036W","homolog of human CGI-121","TPRKB","TP53RK binding protein","H. sapiens","51002","608680","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CHA1","YCL064C","Catabolism of Hydroxy Amino acids","SDS","serine dehydratase","H. sapiens","10993","182128","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CHC1","YGL206C","Clathrin Heavy Chain","CLTC","clathrin, heavy chain (Hc)","H. sapiens","1213","118955","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CHC1","YGL206C","Clathrin Heavy Chain","CLTCL1","clathrin, heavy chain-like 1","H. sapiens","8218","601273","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CHD1","YER164W","Chromatin organization modifier, Helicase, and DNA-binding domains","CHD1","chromodomain helicase DNA binding protein 1","H. sapiens","1105","602118","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CHD1","YER164W","Chromatin organization modifier, Helicase, and DNA-binding domains","CHD2","chromodomain helicase DNA binding protein 2","H. sapiens","1106","602119","615369","EPILEPTIC ENCEPHALOPATHY, CHILDHOOD-ONSET; EEOC","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CHK1","YBR274W","CHeckpoint Kinase","CHEK1","checkpoint kinase 1","H. sapiens","1111","603078","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|InParanoid","6","9"
"CHL1","YPL008W","CHromosome Loss","DDX11","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11","H. sapiens","1663","601150","613398","WARSAW BREAKAGE SYNDROME; WABS","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CHL1","YPL008W","CHromosome Loss","DDX12P","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 12, pseudogene","H. sapiens","440081","601151","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|InParanoid","8","9"
"CHM7","YJL049W","CHarged Multivesicular body protein","CHMP7","charged multivesicular body protein 7","H. sapiens","91782","611130","","","DiOPT","Ensembl Compara|OrthoFinder","2","9"
"CIA1","YDR267C","Cytosolic Iron-sulfur protein Assembly","CIAO1","cytosolic iron-sulfur assembly component 1","H. sapiens","9391","604333","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CIA2","YHR122W","Cytosolic Iron-sulfur protein Assembly","FAM96B","family with sequence similarity 96, member B","H. sapiens","51647","614778","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CIN1","YOR349W","Chromosome INstability","TBCD","tubulin folding cofactor D","H. sapiens","6904","604649","","","DiOPT","PANTHER|OrthoFinder","2","9"
"CIN10","YDR387C","Chromosome INstability","SLC2A13","solute carrier family 2 (facilitated glucose transporter), member 13","H. sapiens","114134","611036","","","DiOPT","OrthoInspector|OMA|PhylomeDB|PANTHER|Ensembl Compara","5","9"
"CIN4","YMR138W","Chromosome INstability","ARL2","ADP-ribosylation factor-like 2","H. sapiens","402","601175","","","DiOPT","Hieranoid|PANTHER|Ensembl Compara|OrthoFinder","4","9"
"CIN8","YEL061C","Chromosome INstability","KIF11","kinesin family member 11","H. sapiens","3832","148760","152950","MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR","DiOPT","Ensembl Compara|PANTHER|OrthoFinder","3","9"
"CIR1","YGR207C","Changed Intracellular Redox state","ETFB","electron-transfer-flavoprotein, beta polypeptide","H. sapiens","2109","130410","231680","MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CIR2","YOR356W","Changed Intracellular Redox state","ETFDH","electron-transferring-flavoprotein dehydrogenase","H. sapiens","2110","231675","231680","MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CIT1","YNR001C","CITrate synthase","CS","citrate synthase","H. sapiens","1431","118950","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CIT2","YCR005C","CITrate synthase","CS","citrate synthase","H. sapiens","1431","118950","","","DiOPT","OrthoInspector|OMA|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","9","9"
"CIT3","YPR001W","CITrate synthase","CS","citrate synthase","H. sapiens","1431","118950","","","DiOPT","Ensembl Compara|OrthoFinder|PhylomeDB|PANTHER","4","9"
"CKA1","YIL035C","Casein Kinase Alpha subunit","CSNK2A1","casein kinase 2, alpha 1 polypeptide","H. sapiens","1457","115440","","","DiOPT","OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CKA1","YIL035C","Casein Kinase Alpha subunit","CSNK2A2","casein kinase 2, alpha prime polypeptide","H. sapiens","1459","115442","","","DiOPT","OMA|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|PANTHER|Ensembl Compara|InParanoid","8","9"
"CKA2","YOR061W","Casein Kinase Alpha' subunit","CSNK2A1","casein kinase 2, alpha 1 polypeptide","H. sapiens","1457","115440","","","DiOPT","OrthoInspector|OrthoFinder|PhylomeDB|PANTHER|Ensembl Compara","5","9"
"CKA2","YOR061W","Casein Kinase Alpha' subunit","CSNK2A2","casein kinase 2, alpha prime polypeptide","H. sapiens","1459","115442","","","DiOPT","OrthoInspector|OrthoFinder|PhylomeDB|PANTHER|Ensembl Compara","5","9"
"CKB2","YOR039W","Casein Kinase Beta' subunit","CSNK2B","casein kinase 2, beta polypeptide","H. sapiens","1460","115441","","","DiOPT","OrthoInspector|OMA|OrthoFinder|SonicParanoid|Hieranoid|PANTHER|Ensembl Compara|InParanoid","8","9"
"CKI1","YLR133W","Choline KInase","CHKA","choline kinase alpha","H. sapiens","1119","118491","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"CKI1","YLR133W","Choline KInase","CHKB","choline kinase beta","H. sapiens","1120","612395","602541","MUSCULAR DYSTROPHY, CONGENITAL, MEGACONIAL TYPE; MDCMC","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","7","9"
"CKI1","YLR133W","Choline KInase","ETNK1","ethanolamine kinase 1","H. sapiens","55500","609858","","","DiOPT","OrthoInspector|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","5","9"
"CKI1","YLR133W","Choline KInase","ETNK2","ethanolamine kinase 2","H. sapiens","55224","609859","","","DiOPT","SonicParanoid|OrthoInspector|InParanoid|PANTHER","4","9"
"CKS1","YBR135W","Cdc28 Kinase Subunit","CKS1B","CDC28 protein kinase regulatory subunit 1B","H. sapiens","1163","116900","","","DiOPT","Ensembl Compara|OrthoInspector|InParanoid|SonicParanoid","4","9"
"CKS1","YBR135W","Cdc28 Kinase Subunit","CKS2","CDC28 protein kinase regulatory subunit 2","H. sapiens","1164","116901","","","DiOPT","OrthoInspector|SonicParanoid|PANTHER|Ensembl Compara|InParanoid","5","9"
"CLA4","YNL298W","CLn Activity dependant","PAK4","p21 protein (Cdc42/Rac)-activated kinase 4","H. sapiens","10298","605451","","","DiOPT","Hieranoid|OrthoFinder|Ensembl Compara|PANTHER","4","9"
"CLA4","YNL298W","CLn Activity dependant","PAK6","p21 protein (Cdc42/Rac)-activated kinase 6","H. sapiens","56924","608110","","","DiOPT","OMA|OrthoFinder|Hieranoid|PANTHER|Ensembl Compara","5","9"
"CLA4","YNL298W","CLn Activity dependant","PAK7","p21 protein (Cdc42/Rac)-activated kinase 7","H. sapiens","57144","608038","","","DiOPT","Hieranoid|OrthoFinder|PANTHER","3","9"
"CLB1","YGR108W","CycLin B","CCNB1","cyclin B1","H. sapiens","891","123836","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|Ensembl Compara|InParanoid","7","9"
"CLB1","YGR108W","CycLin B","CCNB2","cyclin B2","H. sapiens","9133","602755","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|Ensembl Compara|InParanoid","7","9"
"CLB2","YPR119W","CycLin B","CCNB1","cyclin B1","H. sapiens","891","123836","","","DiOPT","OrthoInspector|OrthoFinder|SonicParanoid|Hieranoid|PhylomeDB|Ensembl Compara|InParanoid","7","9"
"CLB2","YPR119W","CycLin B","CCNB2","cyclin B2","H. sapiens","9133","602755","","","DiOPT","OrthoInspector|OrthoFinder|Hieranoid|SonicParanoid|PhylomeDB|Ensembl Compara|InParanoid","7","9"
"CLB2","YPR119W","CycLin B","CCNB3","cyclin B3","H. sapiens","85417","300456","","","DiOPT","Ensembl Compara|PANTHER|PhylomeDB|OrthoFinder","4","9"
"CLB3","YDL155W","CycLin B","CCNB1","cyclin B1","H. sapiens","891","123836","","","DiOPT","Hieranoid|OrthoInspector|Ensembl Compara|OrthoFinder","4","9"
"CLB3","YDL155W","CycLin B","CCNB2","cyclin B2","H. sapiens","9133","602755","","","DiOPT","Hieranoid|OrthoInspector|PhylomeDB|OrthoFinder","4","9"
"CLB4","YLR210W","CycLin B","CCNB1","cyclin B1","H. sapiens","891","123836","","","DiOPT","Ensembl Compara|PhylomeDB|Hieranoid|OrthoFinder","4","9"
"CLB5","YPR120C","CycLin B","CCNB2","cyclin B2","H. sapiens","9133","602755","","","DiOPT","Ensembl Compara|PhylomeDB|OrthoFinder","3","9"
"CLB5","YPR120C","CycLin B","CCNB3","cyclin B3","H. sapiens","85417","300456","","","DiOPT","Ensembl Compara|OrthoFinder|PANTHER","3","9"
"CLB6","YGR109C","CycLin B","CCNB3","cyclin B3","H. sapiens","85417","300456","","","DiOPT","Ensembl Compara|OrthoFinder|PhylomeDB|PANTHER","4","9"
"CLC1","YGR167W","Clathrin Light Chain","CLTA","clathrin, light chain A","H. sapiens","1211","118960","","","DiOPT","Hieranoid|PANTHER|OrthoFinder","3","9"
"CLC1","YGR167W","Clathrin Light Chain","CLTB","clathrin, light chain B","H. sapiens","1212","118970","","","DiOPT","Hieranoid|OrthoFinder|PANTHER","3","9"
