Entry,Gene names,Protein names
P39997,NPP2 YEL016C,Ectonucleotide pyrophosphatase/phosphodiesterase 2 (E-NPP 2) [Includes: Alkaline phosphodiesterase 1 (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]
P40347,LTP1 YPR073C YP9499.28C,Low molecular weight phosphotyrosine protein phosphatase (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (PTPase)
P53903,PGA2 YNL149C N1774,Processing of GAS1 and ALP protein 2
P17442,PHO81 YGR233C G8567,Phosphate system positive regulatory protein PHO81 (CDK inhibitor PHO81)
P23594,PPH21 YDL134C D2180,Serine/threonine-protein phosphatase PP2A-1 catalytic subunit (EC 3.1.3.16)
P33775,PMT1 YDL095W D2390,Dolichyl-phosphate-mannose--protein mannosyltransferase 1 (EC 2.4.1.109)
P38208,POP8 YBL018C YBL0301,Ribonucleases P/MRP protein subunit POP8 (EC 3.1.26.5) (RNA-processing protein POP8) (RNases P/MRP 15.5 kDa subunit)
Q06629,HDA2 PLO2 YDR295C,HDA1 complex subunit 2 (Histone deacetylase complex 1 subunit 2)
Q99181,HSH49 YOR319W O6142,Protein HSH49
P0CY13,HMRA2 YCR096C YCR96C,Silenced mating-type protein A2 (MATa2 protein)
P32485,HOG1 SSK3 YLR113W L2931 L9354.2,Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24) (High osmolarity glycerol response protein 1)
P53687,HST3 YOR025W OR26.15,NAD-dependent histone deacetylase HST3 (EC 2.3.1.286) (Homologous to SIR2 protein 3) (Regulatory protein SIR2 homolog 3)
Q12347,HRT3 YLR097C,F-box protein HRT3 (High level expression reduces Ty3 transposition protein 3)
Q6Q560,ISD11 YER048W-A,"Protein ISD11 (Iron-sulfur protein biogenesis, desulfurase-interacting protein 11)"
P53219,IMO32 YGR031W,Probable alcohol acetyltransferase (AAT) (EC 2.3.1.-) (Intermediate cleaved by mitochondrial octapeptidyl aminopeptidase protein 32)
P53863,JJJ1 YNL227C N1254,J protein JJJ1
Q03361,JIP4 YDR475C YDR474C,Uncharacterized protein JIP4 (Jumonji-interacting protein 4)
P40206,JLP2 YMR132C YM9375.01C,Protein JLP2 (DnaJ-like protein 2)
Q06164,MMS22 SLM2 YLR320W,E3 ubiquitin-protein ligase substrate receptor MMS22 (Methyl methanesulfonate-sensitivity protein 22) (Synthetically lethal with MCM10 protein 2)
Q03218,MMT1 MFT1 YMR177W YM8010.07,Mitochondrial metal transporter 1
P38063,PRS4 PRPS4 YBL068W YBL0619,Ribose-phosphate pyrophosphokinase 4 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 4)
P40089,LSM5 YER146W,U6 snRNA-associated Sm-like protein LSm5
P53035,MIG2 MLZ1 YGL209W,Regulatory protein MIG2
Q03028,ODC1 YPL134C LPI11C,Mitochondrial 2-oxodicarboxylate carrier 1
Q03050,PAU10 YDR542W,Seripauperin-10
P43575,PAU5 YFL020C,Seripauperin-5
P39081,PCF11 YDR228C YD9934.13C,Protein PCF11 (protein 1 of CF I)
Q03558,OYE2 YHR179W,NADPH dehydrogenase 2 (EC 1.6.99.1) (Old yellow enzyme 2)
Q07418,PEX19 PAS12 YDL065C D2528,Peroxisomal membrane protein import receptor PEX19 (Peroxin-19)
P14741,GCN3 AAS2 TIF221 YKR026C,Translation initiation factor eIF-2B subunit alpha (GCD complex subunit GCN3) (Guanine nucleotide exchange factor subunit GCN3) (Translational activator GCN3) (eIF-2B GDP-GTP exchange factor subunit alpha)
P36008,TEF4 EFC1 YKL081W,Elongation factor 1-gamma 2 (EF-1-gamma 2) (Eukaryotic elongation factor 1Bgamma 2) (eEF1Bgamma 2) (Translation elongation factor 1B gamma 2)
P40857,PHS1 YJL097W J0902,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase PHS1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase PHS1) (HACD) (PTPLA homolog involved in sphingolipid biosynthesis protein 1)
P53290,GTR2 YGR163W,GTP-binding protein GTR2
P39005,KRE9 YJL174W J0504,Cell wall synthesis protein KRE9
P32266,MGM1 MDM17 YOR211C YOR50-1,"Dynamin-like GTPase MGM1, mitochondrial (Mitochondrial division and morphology protein 17) (Mitochondrial genome maintenance protein 1) [Cleaved into: Dynamin-like GTPase MGM1 large isoform (l-MGM1); Dynamin-like GTPase MGM1 small isoform (s-MGM1)]"
P39552,MST28 YAR033W FUN59,Multicopy suppressor of SEC21 protein 28 (DUP240 protein MST28)
Q07500,NDE2 NDH2 YDL085W,"External NADH-ubiquinone oxidoreductase 2, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 2)"
P32770,NRP1 ARP ARP1 YDL167C,Asparagine-rich protein (Protein ARP)
P33331,NTF2 YER009W,Nuclear transport factor 2 (NTF-2) (Nuclear transport factor P10)
P38755,OSH7 YHR001W,Oxysterol-binding protein homolog 7
P43558,OTU1 YFL044C,Ubiquitin thioesterase OTU1 (EC 3.4.19.12) (OTU domain-containing protein 1)
P38122,ECM31 YBR176W YBR1238,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Extracellular matrix protein 31) (Ketopantoate hydroxymethyltransferase)
P0CE91,PAU18 YLL064C L0543,Seripauperin-18
Q08322,PAU20 YOL161C,Seripauperin-20
P38151,PBP2 YBR233W YBR1531,PAB1-binding protein 2
Q05518,PAL1 YDR348C,Protein PAL1 (Pears and lemons protein 1)
Q07362,PBP4 YDL053C D2574,Protein PBP4 (PBP1-binding protein 4)
P25625,PER1 COS16 YCR044C YCR44C,Protein PER1 (Protein processing in the ER protein 1)
P40550,PDR11 YIL013C,ATP-dependent permease PDR11
P53218,POP6 YGR030C,Ribonucleases P/MRP protein subunit POP6 (EC 3.1.26.5) (RNA-processing protein POP6) (RNases P/MRP 18.2 kDa subunit)
Q01766,HAL1 YPR005C YP9723.05C,Halotolerance protein HAL1
P34244,HSL1 YKL101W YKL453,Probable serine/threonine-protein kinase HSL1 (EC 2.7.11.1)
Q12122,LYS21 YDL131W D2195,"Homocitrate synthase, mitochondrial (HCS) (EC 2.3.3.14)"
P20050,HOP1 YIL072W,Meiosis-specific protein HOP1
P39004,HXT7 YDR342C D9651.11,High-affinity hexose transporter HXT7
P32465,HXT1 HOR4 YHR094C,Low-affinity glucose transporter HXT1
P47056,IRC18 OSW6 YJL037W J1234,Outer spore wall protein 6 (Increased recombination centers protein 18)
P36115,IRS4 YKR019C,Increased rDNA silencing protein 4
Q06567,MCP2 MRX13 YLR253W L9672.2,ABC1 family protein MCP2 (MDM10-complementing protein 2) (MIOREX complex component 13) (Mitochondrial organization of gene expression protein 13)
Q08227,INP54 YOL065C,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54 (EC 3.1.3.36)"
P53193,JAC1 SEO2 YGL018C,"J-type co-chaperone JAC1, mitochondrial (J-type accessory chaperone 1)"
P36132,KAE1 YKR038C,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (Kinase-associated endopeptidase 1) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)
P05986,TPK3 PKA3 YKL166C YKL630,cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)
Q12230,LSP1 YPL004C,Sphingolipid long chain base-responsive protein LSP1
Q08448,LPL1 YOR059C YOR29-10,Lipid droplet phospholipase 1 (EC 3.1.-.-) (EC 3.1.1.4)
Q07799,LMO1 YLL007C L1353,ELMO family protein LMO1
P36032,MCH2 YKL221W,Probable transporter MCH2
P32491,MKK2 SSP33 YPL140C LPI6C,MAP kinase kinase MKK2/SSP33 (EC 2.7.12.2)
P34165,MFA1 YDR461W D8035.5,Mating hormone A-factor 1
P40260,MEP1 AMT1 YGR121C G6331,Ammonium transporter MEP1
P48240,MTR3 YGR158C G6676,Exosome complex component MTR3 (mRNA transport regulator 3)
P24279,MCM3 YEL032W SYGP-ORF23,DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)
P32354,MCM10 DNA43 YIL150C,Minichromosome maintenance protein 10 (Protein DNA43)
P19263,RGR1 MED14 YLR071C,Mediator of RNA polymerase II transcription subunit 14 (Glucose repression regulatory protein 1) (Mediator complex subunit 14)
P53927,NOP15 YNL110C N1954,Ribosome biogenesis protein 15 (Nucleolar protein 15)
P53164,NPY1 YGL067W,NAD-capped RNA hydrolase NPY1 (DeNADding enzyme NPY1) (EC 3.6.1.-) (NADH pyrophosphatase) (EC 3.6.1.22)
P32340,NDI1 YML120C YM7056.06C,"Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial (EC 1.6.5.9) (Internal NADH dehydrogenase) (NADH:ubiquinone reductase (non-electrogenic))"
Q12366,NDJ1 TAM1 YOL104C,Non-disjunction protein 1 (Telomere-associated meiosis protein 1)
P53091,MCM6 YGL201C,DNA replication licensing factor MCM6 (EC 3.6.4.12) (Minichromosome maintenance protein 6)
P40958,MAD2 YJL030W J1256,Mitotic spindle checkpoint component MAD2 (Mitotic MAD2 protein)
Q12460,NOP56 SIK1 YLR197W L8167.9,Nucleolar protein 56 (Ribosome biosynthesis protein SIK1) (Suppressor of I kappa b protein 1)
Q02574,MEC3 PIP3 PSO9 YLR288C L8003.15,DNA damage checkpoint control protein MEC3
P36013,MAE1 YKL029C,"NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38)"
P38340,TAE1 NTM1 YBR261C YBR1729,Alpha N-terminal protein methyltransferase 1 (EC 2.1.1.244) (Translation associated element 1) (X-Pro-Lys N-terminal protein methyltransferase 1) (NTM1)
P32473,PDB1 YBR221C YBR1511,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 beta) (PDHE1-B)"
P38787,PAN5 YHR063C,2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)
Q06608,YPR172W,Pyridoxamine 5'-phosphate oxidase homolog (PNP/PMP oxidase homolog) (PNPOx homolog)
Q03370,PEX29 YDR479C,Peroxisomal membrane protein PEX29 (Peroxin-29)
P36004,KKQ8 YKL168C YKL632,Probable serine/threonine-protein kinase KKQ8 (EC 2.7.11.1)
P38878,LNP1 YHR192W,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark)
Q07923,LOT6 YLR011W,NAD(P)H-dependent FMN reductase LOT6 (FMN reductase LOT6) (EC 1.5.1.39) (Azoreductase LOT6) (FMN reductase [NAD(P)H]) (Low temperature response protein 6)
P0CW40,IMA3 YIL172C,"Oligo-1,6-glucosidase IMA3 (EC 3.2.1.10) (Alpha-glucosidase) (Isomaltase 3)"
P22855,AMS1 YGL156W G1861,Alpha-mannosidase (EC 3.2.1.24) (Alpha-D-mannoside mannohydrolase)
P18408,MET16 YPR167C P9325.8,"Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAdoPS reductase)"
P38782,MED6 MTR32 YHR058C,Mediator of RNA polymerase II transcription subunit 6 (Mediator complex subunit 6)
P38920,MLH1 PMS2 YMR167W YM8520.16,DNA mismatch repair protein MLH1 (MutL protein homolog 1) (Post meiotic segregation protein 2)
Q06815,MRL1 YPR079W,Mannose 6-phosphate receptor-like protein 1
Q04751,NAT4 YMR069W YM9916.08,N-alpha-acetyltransferase 40 (EC 2.3.1.257) (Histone-specific N-acetyltransferase NAT4)
P53914,KRE33 NAT10 RRA1 YNL132W N1216 N1858,RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (Killer toxin-resistance protein 33) (Ribosomal RNA cytidine acetyltransferase 1)
P38996,NAB3 HMD1 YPL190C,Nuclear polyadenylated RNA-binding protein 3
P36059,NNR2 YKL151C YKL606,ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase) (Nicotinamide nucleotide repair protein 2)
P48234,ENP2 YGR145W G6623,Ribosome biogenesis protein ENP2 (Essential nuclear protein 2)
P47054,NUP192 YJL039C J1216,Nucleoporin NUP192 (Nuclear pore protein NUP192)
Q12375,ORT1 ARG11 YOR130C O3299 YOR3299C,Mitochondrial ornithine transporter 1
Q06833,NVJ2 YPR091C,Nucleus-vacuole junction protein 2
P06776,PDE2 SRA5 YOR360C,"3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)"
P25610,PAU3 YCR104W,Seripauperin-3
P23394,PRP28 YDR243C YD8419.10C,Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13) (Helicase CA8)
P33550,KTR2 YKR061W,Probable mannosyltransferase KTR2 (EC 2.4.1.-)
Q04005,ATC1 LIC4 YDR184C YD9395.18c,Protein ATC1/LIC4 (AIP3 complex protein 1) (Lithium comvertas protein 4)
P38300,MBA1 YBR185C YBR1307,"Inner membrane mitoribosome receptor MBA1, mitochondrial (Multi-copy bypass of AFG3 protein)"
Q08972,NEW1 YPL226W P1445,[NU+] prion formation protein 1
P49954,NIT3 YLR351C L9638.5,Omega-amidase NIT3 (EC 3.5.1.3) (Nitrilase homolog 2)
Q12447,PAA1 YDR071C,Polyamine N-acetyltransferase 1 (EC 2.3.1.-) (Arylalkylamine N-acetyltransferase homolog) (scAANAT)
P40005,GIM4 PFD2 YEL003W,Prefoldin subunit 2 (Genes involved in microtubule biogenesis protein 4) (Gim complex subunit 4) (GimC subunit 4)
Q12412,PNS1 YOR161C O3568,Protein PNS1 (pH nine-sensitive protein 1)
P19657,PMA2 YPL036W,Plasma membrane ATPase 2 (EC 7.1.2.1) (Proton pump 2)
Q08108,PLB3 YOL011W,Lysophospholipase 3 (EC 3.1.1.5) (Phospholipase B 3)
P53835,PRM1 YNL279W N0605,Plasma membrane fusion protein PRM1 (Pheromone-regulated membrane protein 1)
Q12417,PRP46 CWC1 NTC50 YPL151C P2594,Pre-mRNA-splicing factor PRP46 (Complexed with CEF1 protein 1) (PRP nineteen-associated complex protein 50) (PRP19-associated complex protein 50) (Pre-mRNA-processing protein 46)
P49960,PRP24 YMR268C YM8156.10C,U4/U6 snRNA-associated-splicing factor PRP24 (U4/U6 snRNP protein)
P20457,PRI2 YKL045W YKL258,DNA primase large subunit (DNA polymerase alpha:primase complex p58 subunit) (DNA polymerase-primase complex p58 subunit) (Pol alpha-primase complex p58 subunit) (DNA primase 58 kDa subunit)
P07272,PPR1 YLR014C,Pyrimidine pathway regulatory protein 1
P38796,PPE1 YHR075C,Protein phosphatase methylesterase 1 (PME-1) (EC 3.1.1.89) (Yms2)
P50107,GLO1 YML004C YM9571.15C,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)
P32783,ABD1 YBR236C YBR1602,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase)
P11746,MCM1 FUN80 YMR043W YM9532.08,Pheromone receptor transcription factor (GRM/PRTF protein)
P10962,MAK16 YAL025C,Protein MAK16 (Maintenance of killer protein 16)
P33755,NPL4 HRD4 YBR170C YBR1231,Nuclear protein localization protein 4 (HMG-CoA reductase degradation protein 4)
Q12499,NOP58 NOP5 YOR310C O6108,Nucleolar protein 58 (Nucleolar protein 5)
P38742,NPR3 RMD11 YHL023C,Nitrogen permease regulator 3 (Required for meiotic nuclear division protein 11)
P53379,MKC7 YPS2 YDR144C YD2943.03C YD8358.01C,Aspartic proteinase MKC7 (EC 3.4.23.41) (Yapsin-2)
P25491,YDJ1 MAS5 YNL064C N2418 YNL2418C,Mitochondrial protein import protein MAS5 (Yeast dnaJ protein 1)
P40185,MMF1 IBM1 YIL051C,"Protein MMF1, mitochondrial (Isoleucine biosynthesis and maintenance of intact mitochondria 1) (Maintenance of mitochondrial function 1)"
P47164,STR2 YJR130C J2063,Cystathionine gamma-synthase (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase) (Sulfur transfer protein 2)
P53583,MPA43 YNL249C N0875,Protein MPA43
P40364,MPM1 YJL066C HRE252 J1111,Mitochondrial peculiar membrane protein 1
Q03834,MSH6 PMS3 YDR097C YD8557.04C,DNA mismatch repair protein MSH6 (MutS protein homolog 6) (Postmeiotic segregation protein 3)
P07884,MOD5 YOR274W,tRNA dimethylallyltransferase (DMATase) (EC 2.5.1.75) (Isopentenyl-diphosphate: tRNA isopentenyltransferase) (IPP transferase) (IPPT) (tRNA isopentenyltransferase) (IPTase)
Q08925,MRN1 PTR69 YPL184C,RNA-binding protein MRN1 (Multicopy suppressor of RSC-NHP6 synthetic lethality protein 1) (Post-transcriptional regulator of 69 kDa)
P36023,OAF3 YKR064W,Oleate activated transcription factor 3
Q12515,PAR32 YDL173W,Protein PAR32 (Protein phosphorylated after rapamycin 32)
P80667,PEX13 PAS20 YLR191W L9470.1,Peroxisomal membrane protein PAS20 (Peroxin-13)
P40155,PEX17 PAS9 YNL214W N1319,Peroxisomal membrane protein PEX17 (Peroxin-17)
P32505,NAB2 YGL122C,Nuclear polyadenylated RNA-binding protein NAB2
P23503,NAR1 YNL240C N1114,Cytosolic Fe-S cluster assembly factor NAR1 (Nuclear architecture-related protein 1)
P27476,NSR1 YGR159C G7001,Nuclear localization sequence-binding protein (p67)
Q02630,NUP116 NSP116 YMR047C YM9532.12C,Nucleoporin NUP116/NSP116 (Nuclear pore protein NUP116/NSP116)
P40354,NTA1 YJR062C J1742,Protein N-terminal amidase (NT-amidase) (EC 3.5.1.-)
P29468,PAP1 YKR002W,Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)
P39105,PLB1 YMR008C YM8270.10C,Lysophospholipase 1 (EC 3.1.1.5) (Phospholipase B 1)
P39551,PRM9 YAR031W FUN58,Pheromone-regulated membrane protein 9 (DUP240 protein PRM9)
Q12690,RPL13A YDL082W,60S ribosomal protein L13-A (Large ribosomal subunit protein eL13-A)
Q03942,RKM2 YDR198C,Ribosomal lysine N-methyltransferase 2 (EC 2.1.1.-)
P05737,RPL7A RPL6A RPL8A YL8A YGL076C,60S ribosomal protein L7-A (L6) (Large ribosomal subunit protein uL30-A) (RP11) (YL8)
P14126,RPL3 MAK8 TCM1 YOR063W YOR29-14,60S ribosomal protein L3 (Large ribosomal subunit protein uL3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)
Q02805,ROD1 YOR018W OR26.08,Protein ROD1 (Resistance to o-dinitrobenzene protein 1)
P36525,MRPL24 MRPL14 YMR193W YM9646.05,"54S ribosomal protein L24, mitochondrial (Mitochondrial large ribosomal subunit protein bL28m) (YmL14/YmL24)"
P38771,RRF1 FIL1 KIM4 YHR038W,"Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)"
P40042,RRT13 YER066W,Regulator of rDNA transcription protein 13
P48589,RPS12 YOR369C,40S ribosomal protein S12 (Small ribosomal subunit protein eS12)
P0CX34,RPS30B YOR182C,40S ribosomal protein S30-B (Small ribosomal subunit protein eS30-B)
Q03430,RSM28 YDR494W,"37S ribosomal protein RSM28, mitochondrial (Mitochondrial small ribosomal subunit protein mS46)"
Q06639,RSC3 YDR303C D9740.13,Chromatin structure-remodeling complex protein RSC3 (Remodel the structure of chromatin complex subunit 3)
P46974,RSF2 ZMS1 YJR127C J2052,Respiration factor 2 (Zinc finger protein ZMS1)
Q04673,SSL1 YLR005W,General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1)
P32350,KNS1 YLL019C,Dual specificity protein kinase KNS1 (EC 2.7.12.1)
Q03829,MME1 YMR166C YM8520.15C,Mitochondrial magnesium exporter 1
P15807,MET8 YBR213W YBR1461,Siroheme biosynthesis protein MET8 [Includes: Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]
Q05777,NCW2 YLR194C,Cell wall biogenesis protein NCW2 (New cell wall protein 2)
Q02197,MAK10 NAA35 YEL053C,"N-alpha-acetyltransferase 35, NatC auxiliary subunit (Glucose repressible protein MAK10) (L-A virus GAG protein N-acetyltransferase subunit MAK10) (Maintenance of killer protein 10) (N-terminal acetyltransferase C complex subunit MAK10) (NatC complex subunit MAK10)"
P33420,NIP100 NIP80 YPL174C,Protein NIP100 (Protein NIP80)
P47016,NIT2 YJL126W J0706,Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)
Q12143,NSL1 YPL233W,Kinetochore-associated protein NSL1
P14907,NSP1 YJL041W J1207,Nucleoporin NSP1 (Nuclear pore protein NSP1) (Nucleoskeletal-like protein) (p110)
P22434,PDE1 YGL248W NRB369,"3',5'-cyclic-nucleotide phosphodiesterase 1 (PDEase 1) (EC 3.1.4.17) (3':5'-CNP) (Low-affinity cAMP phosphodiesterase)"
Q08966,PCL8 YPL219W P1745,PHO85 cyclin-8
P0CE90,PAU6 YNR076W N3825,Seripauperin-6
P32567,PAH1 PAP1 SMP2 YMR165C YM8520.14C,Phosphatidic acid phosphohydrolase 1 (PAP1) (EC 3.1.3.4) (Protein SMP2)
P41816,OYE3 YPL171C P2291,NADPH dehydrogenase 3 (EC 1.6.99.1) (Old yellow enzyme 3)
P17967,PDI1 MFP1 TRG1 YCL043C YCL313 YCL43C,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)
P38351,PAF1 YBR279W YBR2016,RNA polymerase II-associated protein 1 (Protein PAF1)
P53896,PGA1 YNL158W N1739,GPI mannosyltransferase 2 subunit PGA1 (Processing of GAS1 and ALP protein 1)
P53191,PIB2 YGL023C,Phosphatidylinositol 3-phosphate-binding protein 2
P20604,SIT4 PPH1 YDL047W D2693,Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16)
P25584,PEX34 YCL056C YCL433 YCL56C,Peroxisomal membrane protein PEX34 (Peroxin-34)
Q03262,PRM15 PGM3 YMR278W YM8021.04,Phosphoribomutase (PRM) (EC 5.4.2.7) (Phosphoglucomutase 3) (PGM 3)
P38193,PSY4 HTP3 YBL046W YBL0402,Serine/threonine-protein phosphatase 4 regulatory subunit 2 (PP4R2)
P07270,PHO4 YFR034C,Phosphate system positive regulatory protein PHO4
Q06624,AOS1 RHC31 YPR180W P9705.5,DNA damage tolerance protein RHC31 (RAD31 homolog)
P07283,SEC53 ALG4 YFL045C,Phosphomannomutase (PMM) (EC 5.4.2.8)
P23595,PPH22 SIS4 YDL188C D1271,Serine/threonine-protein phosphatase PP2A-2 catalytic subunit (EC 3.1.3.16)
P21242,PRE10 PRC1 PRS1 YOR362C O6650,Probable proteasome subunit alpha type-7 (Macropain subunit C1) (Multicatalytic endopeptidase complex subunit C1) (Proteasome component C1) (Proteinase YSCE subunit 1)
P40555,NAS2 YIL007C,Probable 26S proteasome regulatory subunit p27 (Proteasome non-ATPase subunit 2)
P01120,RAS2 ASC1 CTN5 GLC5 YNL098C N2198,Ras-like protein 2 (EC 3.6.5.2)
P0C2H9,RPL31B RPL34 RPL34B YLR406C,60S ribosomal protein L31-B (L34) (Large ribosomal subunit protein eL31-B) (YL28)
Q12250,RPN5 NAS5 YDL147W D1572,26S proteasome regulatory subunit RPN5 (Proteasome non-ATPase subunit 5)
Q06103,RPN7 YPR108W P8283.8,26S proteasome regulatory subunit RPN7
O13563,RPN13 DAQ1 YLR421C,26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)
P51862,ROM2 YLR371W L8039.3,RHO1 GDP-GTP exchange protein 2
P12687,MRP7 MRPL2 YNL005C N2007,"54S ribosomal protein L2, mitochondrial (Mitochondrial large ribosomal subunit protein bL27m) (YMR6) (YmL2)"
P53081,NIF3 YGL221C,NGG1-interacting factor 3
P47149,NNF1 YJR112W J2011,Kinetochore-associated protein NNF1
P34077,NIC96 YFR002W,Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96)
Q08213,NGL1 YOL042W,RNA exonuclease NGL1 (EC 3.1.-.-)
P52593,NUP188 YML103C,Nucleoporin NUP188 (Nuclear pore protein NUP188)
P32332,OAC1 PMT PMT1 YKL120W YKL522,Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)
Q92316,OST5 YGL226C-A YGL226BC,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5 (Oligosaccharyl transferase subunit OST5) (Oligosaccharyl transferase 9.5 kDa subunit) (Oligosaccharyl transferase subunit zeta)
P53691,CPR6 YLR216C L8167.24,Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6)
P25375,PRD1 YCL057W YCL57W,Saccharolysin (EC 3.4.24.37) (Oligopeptidase YSCD) (Protease D) (Proteinase yscD)
P32901,PTR2 YKR093W YKR413,Peptide transporter PTR2 (Peptide permease PTR2)
P40475,QDR1 YIL120W,Quinidine resistance protein 1
P14737,RAD9 YDR217C YD9934.02C,DNA repair protein RAD9
P06838,RAD10 YML095C,DNA repair protein RAD10
P53331,RNH70 REX1 YGR276C G9381,RNA exonuclease 1 (EC 3.1.-.-) (RNase H(70))
P38629,RFC3 YNL290W N0533,Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit)
P31379,LDS1 YAL018C YAL003,Outer spore wall protein LDS1 (Lipid droplets in sporulation protein 1)
Q04087,LRS4 YDR439W D9461.25,Monopolin complex subunit LRS4 (Loss of rDNA silencing protein 4)
P34234,LOT5 YKL183W,Protein LOT5 (Low temperature-responsive protein 5)
Q07508,LUC7 EPE1 EXM2 YDL087C,Protein LUC7
P03879,BI4 SCBI4 Q0120,"Intron-encoded RNA maturase bI4 (RNA maturase SCbI4) [Cleaved into: Truncated, nonfunctional cytochrome b; RNA maturase bI4 (EC 3.1.-.-)]"
P34166,MFA2 YNL145W N1204 N1787,Mating hormone A-factor 2
P53050,MGA1 YGR249W,Protein MGA1
P34232,MTR2 YKL186C,mRNA transport regulator MTR2
P38126,PCH2 YBR186W YBR1308,Pachytene checkpoint protein 2
P39535,PHO90 YJL198W J0336,Low-affinity phosphate transporter PHO90
P32903,PMP1 YCR024C-A YCR24C-A,Plasma membrane ATPase proteolipid 1
P39008,POP2 CAF1 YNR052C N3470,Poly(A) ribonuclease POP2 (EC 3.1.13.4) (CCR4-associated factor 1)
Q03674,PLB2 YMR006C YM8270.08C,Lysophospholipase 2 (EC 3.1.1.5) (Phospholipase B 2)
Q12221,PUF2 YPR042C YP3085.06c YP9499.01,mRNA-binding protein PUF2 (Pumilio homology domain family member 2)
P38230,ZTA1 YBR046C YBR0421,Probable quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase)
P40352,RAD26 GTA1085 YJR035W J1606,DNA repair and recombination protein RAD26 (EC 3.6.4.12) (ATP-dependent helicase RAD26)
P25560,RER1 YCL001W YCL1W,Protein RER1 (Retention of ER proteins 1)
P42073,REF2 YDR195W YD9346.06,RNA end formation protein 2
P54780,RPL15B RPL10B RPL13B YL10B YMR121C YM8564.03C,60S ribosomal protein L15-B (L13) (Large ribosomal subunit protein eL15-B) (RP15R) (YL10) (YP18)
P32489,MEI5 YPL121C LPH6C,Meiosis protein 5
Q08550,MPC54 YOR177C,Meiotic plaque component protein 54
